,Date_first_seen,Duration,Proto,Src_IP_Addr,Src_Pt,Dst_IP_Addr,Dst_Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription,year,day,month
37,2017-03-18 16:36:55.060,6.436,TCP  ,15343_174,60319,EXT_SERVER,22.0,13,    2708,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
38,2017-03-18 03:16:40.185,0.091,TCP  ,OPENSTACK_NET,63090,EXT_SERVER,8000.0,6,     579,1,.AP.SF,0,normal,---,---,---,2017,18,3
39,2017-03-20 02:40:18.790,0.279,TCP  ,17104_33,14609,EXT_SERVER,22.0,2,      92,1,...RS.,0,suspicious,---,---,---,2017,20,3
40,2017-03-18 22:43:31.509,30.997,TCP  ,EXT_SERVER,80,15588_32,62019.0,6,     264,1,.A..S.,0,unknown,---,---,---,2017,18,3
41,2017-03-21 02:50:00.177,132.893,TCP  ,10004_36,21405,EXT_SERVER,22.0,2,     136,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
42,2017-03-15 01:02:48.649,0.088,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63963.0,7,     702,1,.AP.SF,0,normal,---,---,---,2017,15,3
43,2017-03-21 16:54:12.180,10.084,TCP  ,10006_27,56728,EXT_SERVER,22.0,17,    2279,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
44,2017-03-16 07:14:36.727,0.06,TCP  ,OPENSTACK_NET,52334,EXT_SERVER,8000.0,6,     614,1,.AP.SF,0,normal,---,---,---,2017,16,3
45,2017-03-21 07:13:11.623,9.992,TCP  ,EXT_SERVER,22,10012_231,58723.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
46,2017-03-15 08:43:13.403,0.064,TCP  ,OPENSTACK_NET,49899,EXT_SERVER,8000.0,6,     589,1,.AP.SF,0,normal,---,---,---,2017,15,3
47,2017-03-16 14:26:40.174,0.073,TCP  ,OPENSTACK_NET,54740,EXT_SERVER,8000.0,6,     579,1,.AP.SF,0,normal,---,---,---,2017,16,3
48,2017-03-19 07:34:58.778,83.892,TCP  ,10004_36,24388,EXT_SERVER,22.0,6,     983,1,.AP.SF,0,suspicious,---,---,---,2017,19,3
49,2017-03-17 15:10:40.096,0.052,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,56948.0,7,     556,1,.AP.SF,0,normal,---,---,---,2017,17,3
50,2017-03-19 10:00:32.143,120.942,TCP  ,EXT_SERVER,22,10004_36,32529.0,8,    2482,1,.AP.SF,0,suspicious,---,---,---,2017,19,3
51,2017-03-21 10:51:52.552,17.13,TCP  ,18672_14,4551,EXT_SERVER,22.0,17,    2963,1,.APRS.,0,suspicious,---,---,---,2017,21,3
52,2017-03-21 15:43:40.552,0.075,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,58053.0,7,     702,1,.AP.SF,0,normal,---,---,---,2017,21,3
53,2017-03-21 17:12:15.322,20.216,TCP  ,10767_152,54434,EXT_SERVER,22.0,24,    2921,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
54,2017-03-19 17:24:27.131,1.464,TCP  ,16663_65,11211,EXT_SERVER,22.0,2,      92,1,...RS.,0,suspicious,---,---,---,2017,19,3
55,2017-03-19 23:01:42.289,0.078,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,64119.0,7,    1727,1,.AP.SF,0,normal,---,---,---,2017,19,3
56,2017-03-18 16:28:08.005,7.754,TCP  ,EXT_SERVER,22,15343_174,17753.0,14,    2257,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
57,2017-03-18 16:42:43.909,9.713,TCP  ,EXT_SERVER,22,10054_224,47150.0,20,    3237,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
58,2017-03-18 07:18:45.976,9.936,TCP  ,10008_114,57809,EXT_SERVER,22.0,17,    2267,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
59,2017-03-21 21:21:37.519,19.383,TCP  ,10767_152,39950,EXT_SERVER,22.0,24,    2889,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
60,2017-03-16 06:22:38.350,0.0,TCP  ,EXT_SERVER,23,12129_197,23747.0,1,      40,1,.A.R..,0,suspicious,---,---,---,2017,16,3
61,2017-03-21 14:52:40.217,23.514,TCP  ,10767_152,32162,EXT_SERVER,22.0,26,    3161,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
62,2017-03-18 03:08:31.553,8.638,TCP  ,EXT_SERVER,22,10054_249,37146.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
63,2017-03-20 15:49:40.554,0.063,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,58411.0,7,     702,1,.AP.SF,0,normal,---,---,---,2017,20,3
64,2017-03-17 02:46:40.050,0.075,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55626.0,7,     561,1,.AP.SF,0,normal,---,---,---,2017,17,3
65,2017-03-18 14:41:40.219,0.072,TCP  ,OPENSTACK_NET,58553,EXT_SERVER,8000.0,6,     579,1,.AP.SF,0,normal,---,---,---,2017,18,3
66,2017-03-18 03:28:40.173,0.057,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63300.0,7,     556,1,.AP.SF,0,normal,---,---,---,2017,18,3
67,2017-03-20 10:43:40.553,0.076,TCP  ,OPENSTACK_NET,50065,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---,2017,20,3
68,2017-03-21 18:23:58.159,2.834,TCP  ,EXT_SERVER,22,10223_107,35658.0,12,    2617,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
69,2017-03-20 12:53:07.870,0.961,TCP  ,EXT_SERVER,22,17173_42,27724.0,5,    1285,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
70,2017-03-15 09:08:46.495,6.954,TCP  ,EXT_SERVER,22,10609_215,1608.0,25,    3921,1,.AP.SF,0,suspicious,---,---,---,2017,15,3
71,2017-03-17 16:16:42.192,0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,64906.0,7,    1728,1,.AP.SF,0,normal,---,---,---,2017,17,3
72,2017-03-19 21:22:40.570,0.062,TCP  ,OPENSTACK_NET,62418,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---,2017,19,3
73,2017-03-15 23:48:03.048,1.544,ICMP ,EXT_SERVER,0,11722_232,0.0,5,     420,1,......,0,suspicious,---,---,---,2017,15,3
74,2017-03-15 15:59:00.267,0.0,TCP  ,11128_80,50434,EXT_SERVER,2323.0,1,      46,1,....S.,0,suspicious,---,---,---,2017,15,3
75,2017-03-21 11:25:47.212,7.928,TCP  ,EXT_SERVER,22,17734_219,49822.0,15,    2677,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
76,2017-03-20 14:07:24.549,9.999,TCP  ,10054_224,36275,EXT_SERVER,22.0,15,    2163,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
77,2017-03-20 14:24:22.189,9.677,TCP  ,10008_114,56486,EXT_SERVER,22.0,15,    2163,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
78,2017-03-17 17:16:40.110,0.08,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,63148.0,7,     561,1,.AP.SF,0,normal,---,---,---,2017,17,3
79,2017-03-20 00:43:40.573,0.056,TCP  ,OPENSTACK_NET,49521,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---,2017,20,3
80,2017-03-19 12:49:35.439,45.148,TCP  ,10004_36,34972,EXT_SERVER,22.0,9,    1141,1,.APRS.,0,suspicious,---,---,---,2017,19,3
81,2017-03-17 05:45:54.170,9.857,TCP  ,EXT_SERVER,22,10012_195,53852.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,17,3
82,2017-03-15 15:20:37.299,0.056,TCP  ,OPENSTACK_NET,65156,EXT_SERVER,8000.0,6,     614,1,.AP.SF,0,normal,---,---,---,2017,15,3
83,2017-03-16 06:38:40.594,0.0,TCP  ,EXT_SERVER,23,12139_124,57294.0,1,      40,1,.A.R..,0,suspicious,---,---,---,2017,16,3
84,2017-03-18 22:44:18.082,30.996,TCP  ,15588_32,19652,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---,2017,18,3
85,2017-03-21 03:19:53.481,13.077,TCP  ,10006_27,11118,EXT_SERVER,22.0,18,    2313,1,.APRSF,0,suspicious,---,---,---,2017,21,3
86,2017-03-21 05:08:46.759,18.941,TCP  ,EXT_SERVER,22,10767_152,20310.0,26,    3745,1,.APRSF,0,suspicious,---,---,---,2017,21,3
87,2017-03-16 08:50:33.315,0.0,TCP  ,12246_156,50916,EXT_SERVER,23.0,1,      46,1,....S.,0,suspicious,---,---,---,2017,16,3
88,2017-03-16 04:59:52.281,9.671,TCP  ,EXT_SERVER,22,10012_231,46025.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,16,3
89,2017-03-19 06:27:38.522,0.0,TCP  ,EXT_SERVER,9600,12867_109,23352.0,1,      40,1,.A.R..,0,suspicious,---,---,---,2017,19,3
90,2017-03-18 21:40:04.453,30.997,TCP  ,15588_32,58339,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---,2017,18,3
91,2017-03-15 10:26:35.173,0.055,TCP  ,OPENSTACK_NET,59911,EXT_SERVER,8000.0,6,     515,1,.AP.SF,0,normal,---,---,---,2017,15,3
92,2017-03-20 14:23:53.882,1.555,TCP  ,17701_60,2593,EXT_SERVER,445.0,3,     144,1,....S.,0,suspicious,---,---,---,2017,20,3
93,2017-03-21 16:31:40.594,0.05,TCP  ,OPENSTACK_NET,58981,EXT_SERVER,8000.0,6,     589,1,.AP.SF,0,normal,---,---,---,2017,21,3
94,2017-03-17 22:22:05.154,6.35,TCP  ,EXT_SERVER,22,10004_36,51316.0,8,    4369,1,.AP.S.,0,suspicious,---,---,---,2017,17,3
95,2017-03-18 22:25:17.545,30.997,TCP  ,15588_32,26841,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---,2017,18,3
96,2017-03-20 00:28:40.584,0.063,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,49256.0,7,     702,1,.AP.SF,0,normal,---,---,---,2017,20,3
97,2017-03-21 20:36:41.931,10.243,TCP  ,EXT_SERVER,22,10006_27,35839.0,19,    3197,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
98,2017-03-20 13:52:29.723,9.112,TCP  ,EXT_SERVER,22,10054_208,49845.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
99,2017-03-21 14:48:57.443,11.729,TCP  ,10006_27,28280,EXT_SERVER,22.0,19,    2523,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
100,2017-03-21 13:58:40.189,0.059,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,54934.0,7,     556,1,.AP.SF,0,normal,---,---,---,2017,21,3
101,2017-03-20 13:25:31.050,9.557,TCP  ,EXT_SERVER,22,10012_211,51265.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
102,2017-03-15 06:14:04.021,9.993,TCP  ,EXT_SERVER,22,10008_98,44927.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,15,3
103,2017-03-21 10:42:27.236,16.772,TCP  ,18672_14,3281,EXT_SERVER,22.0,16,    2917,1,.APRS.,0,suspicious,---,---,---,2017,21,3
104,2017-03-21 13:23:51.191,8.944,TCP  ,EXT_SERVER,22,10006_27,26600.0,24,    3493,1,.AP.SF,0,suspicious,---,---,---,2017,21,3
105,2017-03-19 01:51:45.498,0.0,TCP  ,15873_131,15871,EXT_SERVER,5358.0,1,      46,1,....S.,0,suspicious,---,---,---,2017,19,3
106,2017-03-16 04:22:09.398,9.556,TCP  ,EXT_SERVER,22,10008_104,47384.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,16,3
107,2017-03-20 15:55:03.655,9.148,TCP  ,EXT_SERVER,22,10006_27,59128.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
108,2017-03-18 18:27:57.497,12.658,TCP  ,EXT_SERVER,22,10006_27,16811.0,27,    6365,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
109,2017-03-16 03:36:13.398,0.05,TCP  ,OPENSTACK_NET,49765,EXT_SERVER,8000.0,6,     515,1,.AP.SF,0,normal,---,---,---,2017,16,3
110,2017-03-16 20:21:59.371,30.999,TCP  ,EXT_SERVER,80,12875_68,48280.0,6,     264,1,.A..S.,0,unknown,---,---,---,2017,16,3
111,2017-03-19 05:34:59.504,0.336,TCP  ,EXT_SERVER,22,16063_128,23210.0,1,      44,1,.A..S.,0,suspicious,---,---,---,2017,19,3
112,2017-03-19 04:41:40.584,0.054,TCP  ,OPENSTACK_NET,61469,EXT_SERVER,8000.0,6,     589,1,.AP.SF,0,normal,---,---,---,2017,19,3
113,2017-03-15 16:05:35.170,0.057,TCP  ,OPENSTACK_NET,49939,EXT_SERVER,8000.0,6,     515,1,.AP.SF,0,normal,---,---,---,2017,15,3
114,2017-03-17 18:30:24.298,20.065,TCP  ,14105_47,22574,EXT_SERVER,22.0,26,    3004,1,.AP.SF,0,suspicious,---,---,---,2017,17,3
115,2017-03-18 23:48:19.697,0.0,TCP  ,EXT_SERVER,8080,10375_186,58022.0,1,      40,1,.A.R..,0,suspicious,---,---,---,2017,18,3
116,2017-03-20 11:56:53.669,18.434,TCP  ,14076_119,3731,EXT_SERVER,22.0,26,    3022,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
117,2017-03-16 19:26:33.813,30.997,TCP  ,12875_68,11466,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---,2017,16,3
118,2017-03-18 09:57:53.829,9.952,TCP  ,10006_27,36956,EXT_SERVER,22.0,16,    2299,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
119,2017-03-21 21:23:13.070,18.636,TCP  ,EXT_SERVER,22,10767_152,50792.0,26,    3745,1,.APRSF,0,suspicious,---,---,---,2017,21,3
120,2017-03-21 13:17:51.113,0.0,TCP  ,18844_15,5282,EXT_SERVER,23.0,1,      46,1,....S.,0,suspicious,---,---,---,2017,21,3
121,2017-03-18 00:36:40.171,0.072,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,60335.0,7,    1727,1,.AP.SF,0,normal,---,---,---,2017,18,3
122,2017-03-21 06:37:04.360,21.342,TCP  ,EXT_SERVER,22,10767_152,40340.0,27,    3809,1,.APRSF,0,suspicious,---,---,---,2017,21,3
123,2017-03-18 22:10:38.609,30.998,TCP  ,EXT_SERVER,80,15588_32,18459.0,6,     264,1,.A..S.,0,unknown,---,---,---,2017,18,3
124,2017-03-20 18:02:52.115,124.904,TCP  ,EXT_SERVER,22,10004_36,20449.0,10,     749,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
125,2017-03-17 21:27:49.870,0.015,UDP  ,EXT_SERVER,42565,10014_199,123.0,1,      76,1,......,0,suspicious,---,---,---,2017,17,3
126,2017-03-20 05:41:37.143,15.387,TCP  ,10004_36,10488,EXT_SERVER,22.0,3,     166,1,...RS.,0,suspicious,---,---,---,2017,20,3
127,2017-03-18 15:10:40.573,0.05,TCP  ,OPENSTACK_NET,63880,EXT_SERVER,8000.0,6,     515,1,.AP.SF,0,normal,---,---,---,2017,18,3
128,2017-03-20 14:18:46.086,10.136,TCP  ,10012_195,38469,EXT_SERVER,22.0,15,    2163,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
129,2017-03-21 18:20:52.573,19.212,TCP  ,EXT_SERVER,22,14105_56,50146.0,26,    3745,1,.APRSF,0,suspicious,---,---,---,2017,21,3
130,2017-03-16 13:46:44.093,0.0,TCP  ,10134_18,58022,EXT_SERVER,7777.0,1,      46,1,....S.,0,suspicious,---,---,---,2017,16,3
131,2017-03-16 12:22:40.043,0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,59001.0,7,     556,1,.AP.SF,0,normal,---,---,---,2017,16,3
132,2017-03-16 13:11:36.471,3.462,TCP  ,EXT_SERVER,22,12448_88,51057.0,7,    1401,1,.AP.SF,0,suspicious,---,---,---,2017,16,3
133,2017-03-15 05:28:27.993,0.057,TCP  ,OPENSTACK_NET,51273,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---,2017,15,3
134,2017-03-16 21:29:32.685,30.997,TCP  ,EXT_SERVER,80,12875_68,35841.0,6,     264,1,.A..S.,0,unknown,---,---,---,2017,16,3
135,2017-03-21 09:39:40.801,0.0,TCP  ,EXT_SERVER,23,18646_153,51023.0,1,      40,1,.A.R..,0,suspicious,---,---,---,2017,21,3
136,2017-03-20 14:15:29.336,10.587,TCP  ,10054_224,38692,EXT_SERVER,22.0,17,    2267,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
137,2017-03-20 23:39:07.788,120.459,TCP  ,10004_36,28416,EXT_SERVER,22.0,4,     231,1,.AP.S.,0,suspicious,---,---,---,2017,20,3
138,2017-03-18 16:27:55.371,6.312,TCP  ,EXT_SERVER,22,15343_174,16568.0,12,    2133,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
139,2017-03-18 21:37:05.660,30.998,TCP  ,EXT_SERVER,80,15588_32,1173.0,6,     264,1,.A..S.,0,unknown,---,---,---,2017,18,3
140,2017-03-18 20:52:28.446,30.996,TCP  ,EXT_SERVER,80,15588_32,25548.0,6,     264,1,.A..S.,0,unknown,---,---,---,2017,18,3
141,2017-03-21 10:37:36.030,14.891,TCP  ,18672_14,2659,EXT_SERVER,22.0,16,    2917,1,.APRS.,0,suspicious,---,---,---,2017,21,3
142,2017-03-19 22:47:35.103,3.841,TCP  ,EXT_SERVER,22,16918_230,36170.0,13,    2185,1,.AP.SF,0,suspicious,---,---,---,2017,19,3
143,2017-03-19 01:52:33.985,82.381,TCP  ,10004_36,42176,EXT_SERVER,22.0,5,     307,1,.AP.SF,0,suspicious,---,---,---,2017,19,3
144,2017-03-16 12:58:14.538,30.996,TCP  ,12453_121,57987,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---,2017,16,3
145,2017-03-19 04:38:52.591,0.0,TCP  ,10268_209,44743,EXT_SERVER,6379.0,1,      46,1,....S.,0,suspicious,---,---,---,2017,19,3
146,2017-03-15 00:28:19.552,8.568,TCP  ,EXT_SERVER,22,10006_27,28474.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,15,3
147,2017-03-17 22:09:40.566,30.996,TCP  ,EXT_SERVER,80,10956_200,63652.0,6,     264,1,.A..S.,0,unknown,---,---,---,2017,17,3
148,2017-03-21 17:26:40.136,0.085,TCP  ,OPENSTACK_NET,65345,EXT_SERVER,8000.0,6,     589,1,.AP.SF,0,normal,---,---,---,2017,21,3
149,2017-03-18 07:01:00.718,26.527,TCP  ,EXT_SERVER,22,14840_10,37686.0,33,    5517,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
150,2017-03-20 08:48:51.645,23.193,TCP  ,14076_119,47290,EXT_SERVER,22.0,25,    3048,1,.AP.SF,0,suspicious,---,---,---,2017,20,3
151,2017-03-15 14:26:35.177,0.079,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,64199.0,7,     702,1,.AP.SF,0,normal,---,---,---,2017,15,3
152,2017-03-15 16:06:13.453,119.989,TCP  ,OPENSTACK_NET,56867,EXT_SERVER,8000.0,6,     589,1,.AP.SF,0,normal,---,---,---,2017,15,3
153,2017-03-20 05:29:44.797,30.998,TCP  ,EXT_SERVER,80,17274_25,411.0,7,     308,1,.A..S.,0,unknown,---,---,---,2017,20,3
154,2017-03-16 07:24:24.493,9.807,TCP  ,EXT_SERVER,22,10008_104,59381.0,19,    3185,1,.AP.SF,0,suspicious,---,---,---,2017,16,3
155,2017-03-15 02:51:39.467,0.073,TCP  ,OPENSTACK_NET,52767,EXT_SERVER,8000.0,5,     543,1,.AP.SF,0,normal,---,---,---,2017,15,3
156,2017-03-17 02:56:45.656,8.397,TCP  ,10008_98,36905,EXT_SERVER,22.0,19,    2371,1,.AP.SF,0,suspicious,---,---,---,2017,17,3
157,2017-03-20 13:01:40.556,0.058,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,52456.0,7,     702,1,.AP.SF,0,normal,---,---,---,2017,20,3
158,2017-03-16 05:14:01.125,9.135,TCP  ,10008_104,38700,EXT_SERVER,22.0,18,    2335,1,.AP.SF,0,suspicious,---,---,---,2017,16,3
159,2017-03-18 07:17:24.997,20.274,TCP  ,14105_47,48974,EXT_SERVER,22.0,26,    3236,1,.AP.SF,0,suspicious,---,---,---,2017,18,3
160,2017-03-21 06:38:34.196,19.458,TCP  ,EXT_SERVER,22,10767_152,38909.0,26,    3745,1,.APRSF,0,suspicious,---,---,---,2017,21,3
161,2017-03-21 06:49:40.245,0.074,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,56596.0,7,     702,1,.AP.SF,0,normal,---,---,---,2017,21,3
162,2017-03-19 01:37:40.570,0.042,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,58305.0,7,     556,1,.AP.SF,0,normal,---,---,---,2017,19,3
163,2017-03-16 12:30:08.399,30.999,TCP  ,12453_121,29769,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---,2017,16,3
164,2017-03-17 12:21:40.704,0.071,TCP  ,OPENSTACK_NET,60756,EXT_SERVER,8000.0,6,     579,1,.AP.SF,0,normal,---,---,---,2017,17,3
